No,Teks,Sentimen,Confidence
1,"Masjid Agung Jawa Tengah is truly magnificent! The architecture is a beautiful blend of modern and Islamic styles, with tall minarets and a spacious courtyard. The view from the tower is breathtaking, especially at sunset. It’s not only a place of worship but also a cultural landmark where visitors can learn about Islamic heritage in Indonesia. Very clean, peaceful, and well maintained a must-visit when in Semarang.",Positif,99.95%
2,"This mosque has long been on my wishlist to visit. During my long long previous pilgrimages to the Wali of Central Java ago, I passed by it several times and only admired it from afar. Alhamdulillah, this time I was destined to pray here and feel its grandeur. It’s hard to put into words, but old buildings always seem to hold their own stories for those who visit. This mosque is one of them. It whispers wisdom that has endured through time.",Positif,77.09%
3,"Wonderful mosque architecture in the capital city of Central Java, Semarang. Finally got the chance to visit and perform subuh pray before going to Solo. Many jamaah visited the mosque even before Subuh Unfortunately, the cleanliness of the toilet and wudhu spot should be improved a lot. It was really uncomfortable see rubbish everywhere. The floor was slippery so it can be dangerous for people to walk here to have wudhu There was no cleaning officer there, plus the visitor has no awareness to keep the place clean It was very disappointing",Netral,99.07%
4,"The mosque's grand design, with its iconic minaret and vast prayer hall, offers a sense of tranquility and awe to visitors. Its beautifully landscaped gardens and impressive fountains add to the serene atmosphere, making it a peaceful retreat for reflection and prayer. The panoramic views from the minaret allow visitors to appreciate the beauty of the surrounding city and landscape.",Positif,99.92%
5,"The umbrellas were closed even though the day was super bright - cost saving, understood. But the toilet and the place for taking ablution was lacking of fresh air and was wet wet wet.. inside the mosque, as most of mosques I have ever been to in this country, children were running here and there, women talk-siding loudly sometimes giggling, and of course some were taking nap..",Negatif,85.39%
6,"The Great Mosque of Central Java is a magnificent religious landmark in Semarang, known for its blend of Javanese, Arabic, and Roman architecture. It features the iconic 99-meter Al Husna Tower and a vast complex for worship and religious tourism.",Netral,92.37%
7,"The mosque is breathtaking. The architecture is also beautiful. It has its own style. Also this mosque is HUGE! When you come here I advise you to go to the information centre first. I went here to pray by myself and got lost (but the view is great anyway so it's fine). But it is very hot if you come here to enjoy the view in the middle of the day.",Positif,92.54%
8,"This mosque have an old giant or big Qur'an in hall of mosque, the architecture like Medina mosque but in little version and astonishing mosque complex, in this front of mosque plaza they have very big Bedhug and they have tourist attraction in top of mosque tower we can see semarang city around here, in parking lot area they have many food stalls selling many original hand gifts from semarang city, i take a photo shot this mosque in rainy day, editing it, and voila this photo very amazing.",Netral,99.44%
9,"A visit to Masjid Agung Jawa Tengah on 7/Mar/2020. The most unforgettable features of this mosque to me are its outdoor arch and the purple color used, maybe the number of mosque I have seen is not large, I guess purple color is rarely used. After I arrived at the mosque for a while, I heard Adzan from the minaret, it was resonant, I was deeply attracted to stay there to listen to. I even record the voice, when google map supports to upload a video, I will update. There are 4 pillars looking like umbrellas, the function of them are used as shelters for prayers in rainy days. The inner side of the mosque is luxuriant, visitors (prayers and non-prayers) are free to come in, I lingered in the mosque for more than 1 hour.",Netral,99.97%
10,"Masjid Agung Jawa Tengah is The greatest mosque in central java semarang, located in jalan Gajah Raya. Beatiful mosque, large parking area, and comfort place for praying. This mosque can be reach around 30 minutes from Ahmad Yani Semarang Airport.",Netral,99.91%
11,"Completed in 2006 , the Great Mosque of Central Java in Semarang is the largest and most important mosque in the province, with a capacity to accommodate up to 16,000 worshippers. In addition to the main prayer hall , the mosque complex comprises ablution facilities , an auditorium, and museum, a building for the Islamic cultural office, shops, guest houses, a radio studio and library, as well as an open courtyard with minarets",Positif,97.37%
12,"The architecture of the building is very beautiful. A very spacious mosque. The place for wudhu as well as the shalah's are pretty clean. They also provide mukenah for women who want to do prayer. There's also a tower near the mosque in which we can enter it by purchasing the ticket. The tower provide telescope to let us sight seeing the mosque and the area around it (you need to pay for 1000 rupiah to use it)",Positif,99.90%
13,"The biggest mosque in central java. It has umbrellas like the ones in madina. They open the umbrellas only on friday. It has big halls for any purposes like events, wedding party, seminar, etc. It has a high tower and at the top of it there's a place for sight seeing. You need to pay tickets to enter this place. You can see the entire semarang from this tower. The mosque is so hot in the afternoon. This place is clean and comfortables.",Netral,99.89%
14,"Came here yesterday, waiting for my friends doing their Jum'at shalat (prayer). The air was so hot, they need to plant more trees here. The souvenir area near the giant beduk offer cheap snacks for souvenir, you can have good bargain.",Netral,81.41%
15,"The Grand Mosque of Central Java Masjid Agung Jawa Tengah (MAJT) in Semarang was considered the largest mosque in Central Java. The complex was completely built in 5 years, starting from 2001 to 2006, on an endowed land of 294.4 acres. The architecture displayed greco roman as well as islamic and javanese influences. At the front, 25 pillars and and arches might remind you of roman colosseum while the limasan roofing was a strong hint of javanese traditional house. Arabic calligraphy inside and total number of the pillars represented 25 holly prophet in Islamic belief showed us where the idea comes from Ambassadors from 6 islamic coutries (Saudi Arabia, Kuwait, United Arab Emirates, Qatar, Egypt and Palestine) attended the ground breaking. The mosque was officially functional after the inauguration on November 14, 2006.",Netral,99.94%
16,"Masjid Agung is the largest mosque in Central Java. If you are in Semarang, do not forget to visit and worship there. When the night, the mosque exudes beauty with the lights the lights. Room in it too wide, can make playing futsal.",Positif,99.77%
17,"A big mosque in central java which have historical place and Islamic museum inside. Very large parking area. Alot of gift and special food. But it is very hot at noon.",Netral,99.60%
18,"The mosque is magnificent. It's huge. I think they should provide wheel chair facilities for the elderly. I'm hoping to see more crowd for this mosque. They should let the huge umbrella open until 6 pm. They should held events like bazaar, competition etc",Netral,99.89%
19,"Grand Mosque Central Java in Semarang is beautiful; great architecture and very spacious. Too many visitors attends, so please to more paying attention to the cleanliness.",Positif,81.13%
20,"Masjid Agung Jawa Tengah is an icon in central java. There are a big Quran and six huge umbrellas like in Nabawi mosque. There is also a tower beside the mosque, who open every Friday. In the tower we can fine the telescopes to see the few near the Masjid Agung. If you are the people of Central Java, you must visit it.",Netral,99.59%
