No,Teks,Sentimen,Confidence
1,"All I can say is this mosque is a sign of miracle. It's a must visit place if you come to Banda Acheh. Truly a beautiful mosque with great architecture and strong structure. The mosque is huge, clean and more importantly very calmful.",Positif,99.98%
2,"A very grand and beautiful mosque. There are 2 entrances at the north and south ends of the compound. You are required to take off your footage before entering the compound and you will be given a number tag to retrieve your shoes when you are done. Must go!",Netral,99.93%
3,"It is a large building, but with mostly simple design and decorations on exterior and interior. Relief is mostly cast not carved. More Muslim symbolic than visual appeal. Must cover-up skin to enter grounds. Non-Muslims not allowed in mosque.",Negatif,47.32%
4,"During my stay in Banda Aceh, I prayed many times at Masjid Raya Baiturrahman, truly one of the most iconic and meaningful landmarks in the city. This mosque is not just a place of worship, but also a miracle of history, as it stood strong during the devastating 2004 tsunami while much of the city around it was destroyed. The mosque is very spacious and beautiful, with stunning architecture and a peaceful atmosphere. Beneath the mosque, there’s a huge underground parking area that can hold hundreds of cars and motorcycles, which makes it very convenient for visitors. If you’re in Banda Aceh, visiting this mosque is a must, for prayer, reflection, or simply to admire its powerful presence and history.",Positif,99.96%
5,"I'm Fallin love with this mosque. With its historical, it's really spiritual message for Islamic people. Unfortunately the toilet are lacking maintenance and the electrical big umbrella are still under maintenance. Hope Aceh people can keep the mosque and still beautifull",Positif,99.35%
6,"A very beautiful mosque and very serene. Even though it's a hot day, the floor area of the mosque is not hot as they were made of marble tiles. Lots of group inside the mosque reading and memorizing the Quran. Very nice to hear the rhythm when the teachers and kids reciting the Quran. There's also the minaret which was turned into a small museum. We have to pay to get to the top floor - storey 6th and 7th to take pictures of surrounding areas. Carpark is underground and it's very spacious. This mosque was not affected by the Tsunami flood because it was built quite high about 1m high.",Positif,99.71%
7,"If you know about history of Banda Acheh, you definitely will come to this mosque. All what can I say is this mosque is a sign of miracle. One of the place that must visit if come to Banda Acheh.",Netral,99.88%
8,"tips: you need to take off your shoes before entering the mosque compound. There’s a guy who will pass you a ticket with the tray number. And you should be dressed in covered top and long pants. Masjid Raya Baiturrahman, located in Banda Aceh, Indonesia, is one of the country’s most iconic and historically significant mosques. It stands as a symbol of the spirituality, culture, and resilience of the Acehnese people. The mosque blends Mughal and colonial architectural styles. Its striking black domes are made of hardwood shingles, and the interior features marble pillars, Belgian stained glass windows, and grand bronze chandeliers. The mosque famously withstood the devastating 2004 Indian Ocean tsunami. While much of Banda Aceh was destroyed, the mosque remained intact and served as a refuge for many survivors, further solidifying its importance in the hearts of the people.",Netral,99.97%
9,"The most wonderful mosque and full of history, build more then 4 century ago. Welcome to Banda Aceh - Aceh",Netral,99.34%
10,"Beautiful mosque with dress code requirements for female visitors. You'll have to leave your shoes at the guardhouse, and they will issue you with a number. The mosque grounds are spacious, with lots of people enjoying the cool exterior marble floors, especially in the evenings.",Netral,52.88%
11,"Masjid Raya Baiturrahman is a must-visit spot in Banda Aceh, and here are some tips to make your visit even better. To enjoy the peaceful atmosphere of the mosque, try arriving early in the morning or around prayer time when it’s quieter. Also, be sure to wear modest clothing as it’s a sacred place of worship. Nearby, there are some great shopping spots. You can visit Pasar Aceh, a popular market where you can find everything from traditional sarung aceh (Acehnese sarongs) to unique Acehnese handicrafts. For souvenirs, Toko Aceh Craft is the perfect place to shop for items like silver jewelry, woven fabrics, and traditional bags.",Positif,99.74%
12,"Masjid Raya Baiturahman is a must place to visit when you're in Acheh. There's ample parking lots in the basement. The praying Hall is really big.",Positif,99.87%
13,"I stopped at this mosque while on a motorbike touring trip. This mosque is truly magnificent, the area is large, the quality of the building is very good and it is kept clean. The officer at the front was also very friendly and very helpful. It's really comfortable to pray at this mosque.",Positif,99.93%
14,"Always be amazed coming here at anytime. Masya Allah. An iconic historical mosque, especially its presence as shelter for people during tsunami time back in 2004.",Negatif,83.69%
15,"I just got back from Baiturrahman Grand Mosque and I'm still blown away! It's insane how this place stood strong during the 2004 tsunami. Like, seriously, how? It's a beautiful piece of history and a powerful reminder of faith. Definitely worth a visit if you're ever in Aceh.",Positif,87.88%
16,"A very grand mosque with good architecture design. However, have a little hygiene issue. This masjid was built in the 17th century. Inside the masjid, it was clean, fully air-conditioned, nice marble floors. However, the wuduk place & toilet for the ladies was quite dirty. Still have room for improvement",Positif,99.97%
17,"The heritage mosque, you'll find the vibes of Mecca the spirit of Aceh Islamic Scholars in every side of mosque. The Mosque that become stronger when the tsunami disaster came. you may look around the Banda Aceh city by getting the view from the tower of mosque. feel silences, get back your spirit by praying in",Positif,92.92%
18,"A must visit destination when you in Banda Aceh. The architecture is really beautiful. Inside the mosque, you'll find an amazing atmosphere. Relaxing and calming. Baiturrahman grand mosque is a living witness when the big earthquake happened in 2004. Many people gather here not only to pray, but also just to take a picture. Don't miss it!",Positif,99.89%
19,"Masjid Raya Baiturrahman The Baiturrahman Grand Mosque in Banda Aceh is one of Indonesia's proud cultural and historical icons. Built in 1879 by Sultan Iskandar Muda, this mosque is a symbol of the strength and beauty of Aceh's architecture. The first unique thing that stands out about the Baiturrahman Mosque is the majestic and sturdy shape of its domes and minarets. Not only that, various carvings and decorative details with floral motifs and beautifully carved Arabic calligraphy decorate the walls of this mosque. The architectural beauty of the Baiturrahman Grand Mosque is also reflected in the arrangement of windows made of stained glass with typical Acehnese motifs. Every corner of this mosque exudes the splendor and beauty of local carvings. This mosque also has a deep history as a place of worship and peace for the people of Aceh. In the past, the Baiturrahman Mosque witnessed the struggle of the Acehnese people to defend their religion and culture from various threats. Its existence is the center of religious activities and Islamic education in Aceh. The Baiturrahman Grand Mosque also has a beautiful garden around it, which makes this mosque even more beautiful to look at. The garden surrounded by shady trees provides a calm and peaceful atmosphere for visitors who come to worship or simply enjoy the beauty of the mosque's architecture. The existence of this mosque is also a religious tourist attraction for people from various regions.",Netral,90.67%
20,"The big mosque on banda aceh city",Netral,98.99%
